Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1943,18.2945,19.3438,24.2002,26.9072,30.0588,29.1464,27.3252,26.5526,26.523,24.8149,21.8798,18.4901
1944,17.5895,19.2601,23.1244,26.9007,30.9382,29.7623,27.3694,26.9578,26.5502,24.7663,21.4418,19.0453
1945,16.7866,19.2424,24.3599,27.0078,30.1613,30.1545,27.4551,27.0613,26.5755,24.5981,20.8643,17.1522
1946,17.8912,21.035,24.005,28.269,30.1128,29.1614,27.4388,26.9166,26.6867,25.4665,21.6343,18.9136
1947,17.5848,20.053,24.5044,28.4715,30.8366,30.4637,27.7186,27.405,26.3985,24.476,21.7674,18.6728
1948,18.1608,19.8477,23.7411,28.5427,30.8945,30.0512,27.5922,26.8286,26.6102,25.4209,21.7171,18.0074
1949,18.6976,19.7557,24.5056,28.2497,30.249,29.3798,27.4506,27.0159,26.8738,25.3747,20.5404,17.8455
1950,18.2654,19.0335,23.2831,27.5163,30.4235,29.5804,27.2571,26.8159,26.3652,24.7244,20.7656,17.8203
1951,17.4949,19.7901,24.103,26.6553,30.0188,29.4363,28.0274,27.213,27.3528,26.7086,22.4282,18.6291
1952,18.5552,21.2164,23.6072,28.6899,30.5609,29.7973,27.6898,26.8022,26.9567,25.4298,21.3023,18.9102
1953,17.7122,21.3153,26.1266,28.3119,30.9219,30.2307,27.5428,26.9027,26.6976,25.1009,21.2784,19.3951
1954,17.2836,21.0357,24.4282,28.6873,31.0717,29.6791,27.4518,27.165,26.5642,23.9449,20.85,18.3974
1955,17.9762,20.6103,25.1839,26.9679,29.5686,29.5105,27.5525,26.6199,26.5803,24.6735,20.7701,18.0196
1956,17.8731,19.7324,24.5647,28.4423,30.5546,28.5284,26.6378,26.4585,26.6068,24.487,20.9533,18.4451
1957,17.926,19.0841,23.0058,27.3319,29.7597,29.7185,27.681,27.0994,26.7507,25.2502,22.043,19.1858
1958,19.2079,20.4694,24.9107,28.9254,30.4157,31.0005,27.6923,27.1052,26.6786,25.2725,22.0255,19.1995
1959,18.1406,19.7121,24.7243,28.4016,30.418,29.6949,27.2417,26.9327,26.6499,25.4022,21.4659,18.8298
1960,17.8007,21.4219,23.4349,27.8787,30.404,29.8708,27.6535,27.1897,27.0502,25.273,21.224,19.3058
1961,18.4582,18.8586,25.0719,28.1111,30.1504,28.9972,27.2593,27.0832,26.5877,24.6794,20.8485,17.2157
1962,16.8761,20.2151,24.019,28.0687,29.975,29.6411,27.9862,27.0193,26.4052,24.4432,21.2895,18.4761
1963,17.2516,20.8411,24.0419,27.2584,29.5548,29.3922,27.9283,26.9539,26.7669,25.4441,22.261,18.8708
1964,17.3103,20.1826,25.3749,28.6094,29.9494,29.6212,27.1153,26.9173,26.4933,25.459,21.0589,18.3864
1965,18.6064,20.0961,23.5257,26.8239,29.6939,30.1478,27.5742,27.0279,26.8222,25.7904,22.2635,18.6287
1966,18.3521,21.6204,24.4003,28.2922,30.3687,29.5477,28.2604,27.1926,26.6836,25.53,22.3843,18.2952
1967,17.635,21.1721,23.3061,27.4024,30.028,29.9164,27.6,26.7751,26.6547,25.021,21.467,19.2206
1968,17.1921,19.1818,23.8601,27.3558,29.8077,29.7291,27.6,27.1388,27.481,24.9725,21.6842,18.6695
1969,17.8908,20.7613,25.8735,28.6002,29.8301,30.2075,27.8086,27.0376,26.7589,25.5848,22.627,18.8654
1970,18.1792,20.2577,24.0775,28.6707,30.6706,28.6621,27.6701,26.9876,26.6427,25.4334,21.0667,17.9541
1971,17.5261,20.0882,23.9216,27.9172,29.06,28.0548,27.0478,26.6346,26.7873,24.9399,20.9402,18.1919
1972,17.8787,18.6355,24.6659,27.4548,30.3837,30.4987,27.974,27.1385,26.8006,25.2304,21.8992,19.1813
1973,18.2379,21.2584,24.3788,29.5239,30.8015,29.6494,27.7284,26.7969,26.6374,24.9882,21.3172,18.0752
1974,17.4526,19.5282,25.0843,28.6952,29.809,29.3943,27.5779,27.2153,27.1541,25.5273,21.267,17.5727
1975,17.0546,19.7686,23.8694,28.4604,30.495,29.1824,26.8984,26.8268,26.2073,25.3081,20.3024,17.9105
1976,17.6327,19.9947,24.1111,27.5045,29.7857,29.0225,27.6656,26.4964,26.4969,25.7171,23.0844,19.0216
1977,17.725,20.6341,25.7116,27.8472,28.9377,29.1673,27.328,27.0459,26.7099,25.5153,22.9879,18.8027
1978,17.3295,19.6431,23.1518,27.9876,31.09,29.3923,27.0678,26.8659,26.5938,25.5372,22.4594,18.8336
1979,18.6487,19.6718,23.4515,28.6623,29.6476,30.5141,28.0966,27.3682,27.0855,25.8839,23.258,19.2596
1980,18.2851,20.8044,24.2531,29.2824,30.9962,29.1366,27.5417,27.117,27.2129,25.8773,22.2681,18.8993
1981,17.8322,20.6778,23.8408,28.0213,30.0105,30.0856,27.4297,27.0435,27.0752,25.4133,21.2005,18.2949
1982,18.575,19.6345,23.0291,27.267,29.182,29.5671,28.4793,27.1631,27.0225,25.7629,21.911,18.9869
1983,17.6238,19.5744,23.7086,26.7669,29.5283,30.1174,27.9647,27.1883,26.8453,24.9212,21.0646,18.2942
1984,17.6408,19.0936,24.8972,28.3283,30.9397,29.3564,27.235,26.935,26.2358,25.1818,21.2174,18.8801
1985,18.2793,20.3535,25.6428,28.3364,30.4536,29.3798,27.1745,26.9948,26.8812,24.6287,21.5577,19.3657
1986,18.0205,19.9819,24.2966,28.0505,29.5376,29.5395,27.4848,26.955,27.0631,25.2321,22.3412,18.6124
1987,18.3409,20.751,24.3108,28.2848,29.1465,30.5179,28.7514,27.8269,27.8005,25.9561,22.375,19.0395
1988,18.8555,21.3509,24.3812,28.6019,31.0471,29.8228,27.4216,27.1287,27.289,25.5168,21.9358,19.3243
1989,17.6366,20.0838,23.8751,27.8015,30.5884,28.8997,27.4683,27.0696,27.0646,25.7913,22.2114,18.5463
1990,19.0066,20.4963,23.2359,27.7148,29.5857,29.0449,27.2523,27.1243,26.8018,25.0549,22.3959,19.1587
1991,17.7271,20.8423,24.6196,27.6117,30.3242,29.419,28.0858,27.0607,27.0572,25.2699,21.5114,18.6839
1992,17.7768,19.7434,24.2659,27.816,29.8058,30.0283,27.9916,27.0382,26.6416,25.2891,21.9437,18.7368
1993,18.0268,20.7734,23.5311,27.8682,30.4863,29.7893,27.8541,27.4672,26.7087,25.5668,22.1993,18.8262
1994,18.6504,20.1106,24.9059,27.5236,30.5507,29.5203,27.4243,26.9818,26.7073,25.1494,21.8784,18.5595
1995,17.4625,20.3767,24.1245,27.8355,30.1024,30.4186,27.8069,27.2759,27.0634,25.6359,22.0829,18.9828
1996,18.1832,20.6806,24.9341,28.0266,30.2509,29.5229,27.8541,26.8925,27.0607,25.1788,21.9234,18.5436
1997,17.4746,20.0441,24.4618,27.1815,29.8176,29.4806,28.13,27.2729,27.0835,25.1737,22.3494,18.8003
1998,18.0877,20.5807,23.9826,28.4044,30.9048,30.1199,28.0276,27.6391,27.1677,25.8263,22.3706,18.9046
1999,17.7632,20.9967,24.9155,29.0547,29.9429,29.0228,27.8626,27.2182,27.1631,25.5967,22.3919,18.9767
2000,18.3279,19.942,24.1604,28.8297,30.0913,28.9049,27.4519,27.2984,27.0606,26.1396,22.6234,18.9869
2001,18.0625,20.7408,24.7634,28.1456,30.4058,28.867,27.5604,27.3196,27.2013,25.8768,22.5249,19.1961
2002,18.0668,20.507,25.0371,28.5437,30.583,29.4811,28.1895,27.4201,26.9258,25.7823,22.366,19.4116
2003,17.8009,20.6571,24.7423,28.4882,30.3115,29.7028,27.6963,27.2896,26.9879,25.3451,22.1761,19.066
2004,17.8867,20.6908,25.8863,28.5763,30.0409,29.1198,27.8861,27.1771,27.2142,24.9828,22.2705,19.2536
2005,18.064,20.5714,24.8885,27.9033,30.0307,30.1269,27.7041,27.391,27.1942,25.3522,21.8687,18.7312
2006,18.3248,21.826,24.5087,28.1715,30.3112,29.2036,27.9751,27.1344,26.9626,25.8049,22.4242,19.2653
2007,18.2991,20.6912,24.3229,28.6665,30.4668,29.401,27.9624,27.4335,27.0388,25.4711,22.4741,19.0778
2008,17.8505,19.6809,25.1156,27.9736,30.1482,28.6796,27.8309,27.1109,26.933,25.9036,22.4457,20.0275
2009,18.9432,21.601,25.16,28.6361,30.464,30.2346,28.1943,27.8527,27.4927,25.6534,22.243,19.3949
2010,18.0691,21.0871,26.23,29.5928,30.9589,29.8508,28.0281,27.4948,26.9231,26.0405,22.8694,18.6747
2011,17.3511,20.6986,24.8257,27.6133,30.5144,29.351,27.9115,27.2234,26.8958,25.863,22.6257,19.0776
2012,17.4972,20.1722,24.489,28.2178,30.5943,30.2876,28.1078,27.0871,26.825,25.2363,21.869,19.2462
2013,17.9398,20.7939,24.8891,28.0778,30.8888,29.1089,27.6233,27.0838,27.3465,25.7179,21.8325,18.8874
2014,18.0975,19.938,23.8917,28.2547,30.0059,30.6739,28.3767,27.6581,27.022,25.9676,22.5918,18.6218
2015,17.9858,21.2186,24.0652,27.6559,30.6943,29.3,28.3823,27.6763,27.6759,26.4847,23.0356,19.4948
2016,18.8581,21.9876,25.7622,29.4831,30.6623,30.0489,27.7954,27.5311,27.2824,25.9806,22.3218,19.8519
2017,18.4447,21.5453,24.6965,29.1154,30.8486,29.5501,27.8896,27.6331,27.6852,26.5229,22.2764,19.4577
2018,18.3288,21.4452,25.5966,28.5847,30.5347,29.8662,27.8978,27.3493,27.1646,25.8406,22.6524,18.6815
2019,17.9152,20.5199,24.3576,28.9504,30.6512,30.7165,28.4163,27.5964,27.2329,25.531,22.8016,18.5412
2020,17.8991,20.5327,24.0553,28.0259,30.1196,29.1555,28.4407,27.6847,27.7708,26.4147,22.174,19.2556
2021,18.7399,21.3393,25.7727,28.4454,29.2635,29.0389,28.363,27.7521,27.4259,26.2037,22.3001,19.0719
2022,17.8514,20.1696,26.2737,29.73,30.4304,29.9451,27.9132,27.5964,27.4371,25.542,22.3108,19.9536
2023,18.258,21.9006,24.6432,27.8429,29.3957,30.1488,28.1433,28.0053,27.934,26.2356,23.1552,19.9438
2024,18.3748,21.1022,24.9235,29.0582,31.075,30.5463,28.6501,27.7915,27.8783,26.9184,23.1391,19.4597
